village,soil,total_sqft,density,price(*100)
Kishanpur,2 index,1200,2,80
Kishanpur Birana,2 index,1140,2,58
Kishorpur,5 index,900,5,110
Kithaur (NP),1 index,550,1,16
Kithor Rural,3 index,1450,3,44
Kohla,,1500,,25.49
Kol,2 index,700,2,35.07
Kunda,3 index,1200,3,56
Kunehra,2 index,1050,2,45
Kuri Kamalpur,3 index,1600,3,69
Kutubpur,3 index,1625,2,75
Laliyana,2 index,1492,2,65
Lalpur,4 index,2830 - 2882,5,157.5
Lalpur,3 index,1489,2,82
Latifpur,3 index,1560,2,62.38
Lutfullapur Baksar,2 index,1140,2,42
Machhra,3 index,1431,3,65
Mahamudpur Shikhera,3 index,1682,3,114
Mahmudabad,2 index,1198,2,86.26
Mahmudpur Garvi,3 index,3664,3,325
Mahmudpur Sherki,3 index,1550,2,69.75
Makhannagar,2 index,1026,2,45
Makhdumpur,3 index,1260,2,52
Mamipur,2 index,690,2,42
Mandwari,1 index,539,1,45
Manoharpur,4 index,1200,4,85
Manpur,3 index,2400,3,120
Manpur,2 index,1200,2,79.55
Matora,4 index,2500,5,350
Mavi,3 index,1186,2,40
Mawana (NPP),2 index,1039,2,39.5
Mawana Kalan,4 index,1500,5,233
Mawana Khurd,5 index,1500,4,100
Meerpur,3 index,2520,3,150
Meerpur Sadhunagal,2 index,1225,2,66.5
Meghrajpur,2 index,1350,2,72
Mewa,2 index,1030,2,300
Mirzapur,3 index,1550,2,49.6
Mishipur,3 index,1490,3,79
Mohammadpur Kheri,3 index,1520,3,111
Mohammadpur Shakist,4 index,4100,4,550
Mor Kalan,3 index,1391,2,64.5
Morkhurd,2 index,1200,2,50
Mubarikpur,4 index,1200,4,86
Mubarikpur,5 index,2500,6,500
Murad Gaon Urf Kuwan Khera,2 index,1322,2,80
Muradpur Urf Sholda,3 index,2173,3,128
Muzaffarpur Khunti,2 index,1200,2,75
Nagla Azdi,2 index,1200,2,47
Nagla Chand,2 index,1170,2,65
Nagla Gusai,2 index,1125,2,45.56
Nagla Hareroo,1 index,655 - 742,1,28.57
Nagla Jarif,2 index,1250,2,90
Nagla Salempur,2 index,1025,2,27.68
Nagla Shahu,3 index,1075,2,36
Nagli Abdulla,3 index,1900,2,190
Nagli Issa,3 index,1435,3,45
Nagli Khadar,2 index,1175,2,64.98
Nagli Kithaur,3 index,1464,3,56
Nagori,2 index,900,2,33
Nai Putha,1 index,585,1,21
Naidru,4 index,3170,5,230
Narangpur,3 index,1602,2,170
Nasarpur,2 index,1220,2,42
Navipur Amanatnagar,3 index,2500,3,350
Nawal Surajpur,3 index,2145,3,180
Neemka,2 index,960,2,58
Niloha,1 index,907,1,38
Nimka Viran,2 index,1210,2,74
Nirawali,4 index,900,4,150
Nityanandpur,2 index,1230,2,70
Paharpur,3 index,1350,2,75
Paharpur Kutub,2 index,1150,2,58
Paharpur Ram,3 index,1404,2,53.35
Pali,2 index,1050,2,48
Palra,8 index,1020,10,155
Parichhatgarh,2 index,1285,2,56
Parikshitgarh (NP),2 index,1018,2,50.8
Partapur Hansapur,3 index,1200,3,57
Paswara,2 index,1115,2,50
Pathanpur,3 index,1600,3,95
Penai,2 index,1480,2,80
Phalauda (NP),5 index,2500,7,125
Phalawda Rural,1 index,480,1,25
Phitkari,3 index,1435,3,53
Pilona,1 index,450,1,60
Poothi,1 index,600,2,23
Rachhoti,3 index,1590,2,85
Radhna Inayatpur,,800 - 2660,,28.545
Rafan,2 index,936,2,40.2
Rahawati,2 index,1181,2,75
Rahmapur,3 index,1741,3,80
Rajoopur,3 index,1750,3,123
Rampur Ghoria,2 index,1050,2,42.7
Rampur Sadhu Nagli,2 index,1027,2,60
Rasulpur Goari,2 index,596,2,22
Rasulpur Hansapur,4 index,3463,6,310
Rasulpur Ikla,3 index,1600,3,70
Rathaura Khurd,4 index,2790,5,198
Rathora Kalan,2 index,1000,2,60
Rehadra,2 index,1120,2,44.24
Roopra,2 index,1200,2,85
Rustampur Bhikund,2 index,1200,2,35
Sadarpur,3 index,1570,3,110
Sadullapur,3 index,1500,3,135
Sadullapur,2 index,1315,2,140
Saidipur Sadipur Urf Ramnagar,2 index,1140,2,33.84
Saidipur Seth,2 index,1105,2,90
Saifpur Firojpur,2 index,1200,2,34.65
Saifpur Karamchandpur,1 index,905,1,62
Sakoti,4 index,2400,4,350
Salah Rasulpur Panah,2 index,1185,2,50
Salarpur,2 index,1083,2,100
Sandhan,3 index,1458,3,60
Sanota,3 index,1555,3,75
Sarai Khadar,2 index,1200,2,45
Sarangpur,2 index,1308,2,58.86
Sathla,2 index,1024,2,44
Seena,2 index,1194,2,47
Shah Kulipur,3 index,1450,3,75
Shahabad Garhi,3 index,1639,3,120
Shahajhapur,3 index,1870,3,138
Shahapur,2 index,1232,2,87
Shahapur Khadar,3 index,1719,3,184
Shahipur,2 index,975,2,24.86
Shahpur Sultanpur,3 index,2000,4,130
Shahzadpur,2 index,1230,2,79
Shamashpur,4 index,1350,4,140
Shamaspur,2 index,1076,2,67
Sherpur,7 index,2400,7,125
Shikhera,3 index,995,2,34.82
Shimla,3 index,2120,3,177
Shirjepur,6 index,2400,7,460
Shivpuri,6 index,850,6,78
Shodatt,2 index,1096,2,40.55
Sikandarpur,2 index,1107.83,2,41.51
Singhpur,1 index,505,1,85
Sona,2 index,1320,2,115
Sujatpur,3 index,1408 - 1455,3,72.02
Sultanpur Dabal,2 index,1320,2,99.26
Tajpura,3 index,2901,4,190
Takhawali,3 index,1315,2,65
Tarapur,2 index,1000,2,44
Tarbiyatpur Janubi,3 index,1596,3,79.8
Tarbiyatpur Shumali,3 index,1750,3,130
Tatina,4 index,2403,4,270
Tigri,3 index,1350,3,47.25
Tofapur,4 index,4050 - 4075,,341
Veerkhera,2 index,1175,2,79
Akhtyarpur,2 index,921,2,29.47
Alamgirpur-Faridpur,4 index,4000,4,1100
Andawali,3 index,1713,3,125
Aterna,2 index,1200,2,43
Atmadnagar Allipur,3 index,1900,4,90
Aurangnagar Rardhana,3 index,1664,3,68
Badruddinnagar Nanu,3 index,1795,3,139
Bahadurpur,1 index,600,1,19.5
Bahrala,2 index,1240,2,65
Baparsa,3 index,1965,4,132
Baparsi,3 index,600,4,99
Barkali Nekpur,4 index,4111,4,370
Batjeora,2 index,1200,2,59.76
Bhalsauna,2 index,1112,2,68
Bhamori,3 index,3000,3,60
Bharota,2 index,1136,2,64.5
Bhawa-Nagla,2 index,914,2,55
Bhuni,3 index,1270,2,50.79
Bihta,2 index,1050,2,47.25
Bubakpur,3 index,1385,2,68.5
Chandna,2 index,990,2,35
Charla,2 index,845,2,43
Chhabariya,2 index,1485,2,96.51
Chhur,3 index,1460,2,43.79
Chindauritappa Lawar,2 index,1450,2,57
Chirori,3 index,1360,2,53
Dabathuwa,2 index,1375,2,58
Dabathuwa Garhi,2 index,1125,2,48
Dadri,1 index,720,1,60
Dahar,3 index,1460,2,100
Daulatpur,2 index,1107,2,40
Daurala (NP),2 index,1158,2,75
Deoli Khera Urf Jainpur,2 index,800,1,30
Dhanju,9 index,600,9,90
Dhanwali,3 index,1760,3,128
Dulehra Chauhan,4 index,3200,4,200
Gesupur Baphawat,2 index,600,3,145
Gotka,3 index,1350,3,60
Harar,6 index,600,6,100
Ikari,2 index,1125,2,32.49
Jafarnagar-Begamabad,3 index,1706,3,154
Jainpur,3 index,1600,3,112
Jalalabad Urf Jalalpur,2 index,1200,2,90
Jalalpur-Akkhepur,3 index,1755,3,101
Jamalpur Goma,2 index,1200,2,50
Jamalpur Jalalpur,2 index,1200,2,67
Jasar Sultannagar,2 index,1266.67,2,69
Jasrathpur,3 index,1800,3,90
Jeori,3 index,1200,4,275
Jhitkari,3 index,1300,3,64
Jitpur,3 index,800,3,60
Julehra,4 index,4800,5,550
Kaili,2 index,942 - 1117,2,50.855
Kailota,2 index,1128,2,40
Kakkepur,2 index,2000,2,160
Kaland,2 index,1210,2,80
Kalandi,4 index,2710,6,142
Kamaruddinnagar Madhiyai,2 index,1151,2,39
Kanora,5 index,7500,8,1700
Kapsarh,3 index,1464,3,56
Karnawal (NP),2 index,1017,2,27
Karnawal Rural,2 index,920,2,40
Khanuda,4 index,1200,3,180
Khawajahanpur-Kushawali,5 index,1000,5,140
Khera,3 index,1750,3,86.5
Kheri Jatran,2 index,1163,2,65
Kheri Kalan,3 index,1650,3,110
Kheri Tappa Lawar,3 index,1800,3,95
Khirwa Jalalpur,2 index,1100,2,58
Khirwa Nauabad,2 index,1200,2,60
Khiwai,3 index,1410,3,65
Kulanjan,3 index,1933,3,98
Lawar (NP),2 index,1200,2,45.6
Lawar Janaali Rural,3 index,1608,2,63
Lawar Khas Rural,4 index,2679,5,280
Lawri Hiranpur,2 index,1156,2,46.9
Loiya,2 index,1230,2,75
Machhri,1 index,770,1,43.82
Madaripur,3 index,1777.26,3,105
Madarpura,2 index,1339,2,85
Mahadeo,3 index,3044,3,183
Mahalka,2 index,1080,2,44.8
Mail,8 index,3150,5,145
Mainaputhi,2 index,2400,2,135
Maithna Indersingh,3 index,1450,3,72
Mamupur Urf Dedwa,2 index,1075,2,53
Mamuri,3 index,1163,2,62
Mandora,2 index,1200,2,65
Mataur,8 index,1200,8,135
Mawi Mira,4 index,3090,4,325
Meharmati Ganeshpur,2 index,1299,2,100
Mithepur,2 index,1130,2,32.63
Mohammadpur Akbarpur Chakbandi,2 index,1170,2,75
Mohammadpur Akbarpur Chakbandi,3 index,1750 - 2640,,152
Mohammadpur Hayak,4 index,2600,4,175
Mohanipur,2 index,1140,2,43.32
Mozamabad-Jwalagarh,3 index,1900,3,125
Mukhtyarpur Nagla,2 index,1090,2,31.48
Mulhaira,2 index,1110,2,39.95
Nagla Order,1 index,705,1,57
Nagla Rathi,2 index,1089,2,60
Nagli Ajar Salempur,2 index,880,2,48
Nagli Mazra Mataur,2 index,1080,2,32
Nagli Sadharan,2 index,1093,2,68.1
Nahli,3 index,1480,3,75.48
Nangla Sani,3 index,1703,3,125
Nehori,2 index,1200,2,60
Pali,3 index,1690,3,116
Panchli Buzurg,2 index,1305,2,78
Panwari,3 index,1257,2,40.22
Pathauli,2 index,1150,2,45
Pavli Khas,2 index,1194,2,55
Pavli Khurd,3 index,2000,3,90
Pithlokhar,3 index,1500,4,99
Pohali,2 index,1025,2,42.5
Rajpur Momin,2 index,980,2,38.19
Rasulpur Muradnagar,3 index,1200,2,100
Ratauli,3 index,2225,3,149
Rithali,2 index,1022,2,57
Ruhasa,4 index,882,3,72
Sahipur Daurala,2 index,1153,2,45
Sakoti,2 index,1175,2,60
Salawa,3 index,1560,3,68
Samaspur,1 index,650,1,17
Samaspur Surani,3 index,600,3,65
Samoli-Salempur,2 index,1350,3,55
Sardhana (NPP),2 index,1200,2,76
Sardhana (Rural),2 index,1200,1,54
Saroli Viran,2 index,800,2,25
Sarswa,4 index,2093,4,104
Sarurpur Khurd,3 index,1320,2,55.44
Shahpur Pirpur,2 index,1275,2,73
Shahpur Zadid,2 index,1215,2,43.13
Siwaya-Jamalullapur,2 index,1130,2,45.2
Tanda,3 index,1444,2,71.5
Tandi,2 index,950,2,38
Teharki,2 index,1000,1,90
Ulakhpur,3 index,1240,2,59.52
Walidpur,4 index,600,4,125
Zafrabad-Durweshpur,2 index,1231,2,50
Afzalpur Pawati,2 index,1300,2,120
Ahara,3 index,1713,3,110
Ajnauli,2 index,1200,2,53.33
Ajrara,3 index,3004,4,158
Alamgir Pur,3 index,1310,2,46
Alampur Buzurg,2 index,790,2,49.5
Allipur,3 index,1744,3,200
Allipur Jijmana,3 index,1605,3,100
Amanullapur,2 index,1250,2,82
Amehra Adipur (CT),3 index,2476,3,337
Aminagar Urf Bhurbaral (CT),3 index,1260,2,76
Arnawali,3 index,1615,3,175
Ataula,2 index,1180,2,56
Atrara,3 index,1255,2,50.19
Azampur,2 index,1025,2,53.9
Azizpur,3 index,1877,4,150
Badha Girdharpur,3 index,1649,3,150
Badhala Kaithwara,9 index,2600,12,675
Badholi,5 index,2500,5,125
Bafar,3 index,1542,3,98
Bahadurpur,2 index,1418,2,105
Bahchaula,2 index,1012,2,42
Bahrampur Khas,2 index,1200,2,65
Bahrampur Morna,2 index,1115,2,43
Bajaut,3 index,1680,4,95
Banwaripur,2 index,1171,2,72
Baram,2 index,1027,2,68.62
Barhanpur,3 index,1700,3,75
Basatikri,2 index,1090,2,38.15
Bhadaura,2 index,1232,2,74
Bhagwanpur,2 index,766,2,28
Bhagwanpur Chittawan,5 index,1200,5,180
Bhagwanpur Khalsa,1 index,525,1,27
Bhavi,3 index,142.61Sq. Meter,3,109
Bhawanpur,3 index,1452,2,41
Bhurpur,3 index,1254,2,65
Bijoli,5 index,3600,5,110
Bohla,3 index,1593,3,118
Chak Morna,2 index,1333,2,77.27
Chandora,3 index,1100,3,110
Chandsara,3 index,1375,2,54.99
Chhajmalpur Urf Chhajupur,3 index,1650,3,82
Chhattri,3 index,1430,2,51.48
Chindori Khas,2 index,940,2,54
Chindori Patti Dalu,1 index,435,1,21
Chobla,2 index,1160,2,36.54
Dalampur,3 index,1500,2,77.5
Damgarhi,3 index,1890,2,100
Datavali Gesupur,2 index,1050,2,70
Daulatpur Fakhrabad Urf Kayast,6 index,1200,6,220
Dhadra,2 index,1027,2,43
Dhanota,3 index,1390 - 1600,,61.28
Dhikauli,3 index,3000,4,235
Dhilaura,3 index,1459,2,95
Dhindala,3 index,1711,3,85.61
Dhir Khera,2 index,1250,2,98
Dilwara,1 index,645,1,16.45
Dimoli,2 index,875,2,57
Dungar,2 index,1334,2,67
Durjanpur,2 index,1140,2,32.92
Faizabad Pachgaon,2 index,1115,2,50
Fakharpur Kabatta,3 index,1200,5,200
Fatehpur,3 index,1776,3,190
Fatehpur Ambkhera,3 index,2072,4,160
Gagaul,3 index,1600,3,170
Gangheri,6 index,1200,4,115
Gejha,2 index,920,2,39
Ghat,2 index,598 - 958,2,25.29
Govindpur,4 index,1310,3,95
Govindpur Urf Ghasauli,3 index,1631,3,80
Gyanpur,1 index,525,1,27.5
Hajipur,3 index,1395,3,82
Hasanpur Qadim,3 index,2000,3,105
Hasanpur Razapur,2 index,1232,2,66
Idris Pur,2 index,1075,2,55
Ikla,2 index,1205,2,70
Incholi,4 index,1200,4,165
Islamabad Chhilora,4 index,2340,5,129
Itayira,3 index,1179,2,55
Jalalpur,2 index,1013,2,51
Jalaluddinpur Masoodpur Gawri,2 index,1160,2,40.6
Jamalpur Majra,8 index,1500Cents,6,290
Jangethi,2 index,1200,2,62.5
Jani Buzurg,7 index,1200,5,80
Jani Khurd,3 index,1255,2,50.19
Janjokhar,3 index,1100,2,145
Jasora,2 index,1069,2,55
Jasori,3 index,1200,3,99
Jataula,1 index,1400,1,285
Jatpura,2 index,1065,2,55
Jithauli,2 index,1395,2,75
Johra,3 index,1725,2,165
Jurranpur,2 index,1007,2,43
Kaili,3 index,1436,2,55
Kaithwari,6 index,4250,6,150
Kalanjari,3 index,1645,3,117
Kalina,2 index,1200,2,58
Kalyan Pur,2 index,940,2,43.61
Kamalpur,6 index,4300,6,175
Kanauni,3 index,2850,5,343
Kastala Shamshernagar,3 index,1740,3,191
Kaul,2 index,1194,2,47
Kazamabadgoon,3 index,3761,3,650
Khajuri,3 index,1829,3,125
Khandawali,4 index,1800,4,178
Khanpur,2 index,1000,2,60
Khanpur,3 index,5720,3,350
Khardoni Shekhupur,5 index,800,4,98
Kharkhari,2 index,675,1,15
Kharkhauda,2 index,1390,2,95
Kharkhoda (NP),3 index,1500,3,104
Khaspur,3 index,2047,3,136
Khawajahanpur,2 index,1202,2,79
Khera Balrampur,2 index,1012,2,59
Kheri Nizd Kalina,3 index,2132,3,80
Kherki Muzakkipur,4 index,1350,4,340
Khwajampur Majra,1 index,605,1,40
Kinannagar,2 index,1331,2,88
Kishori,2 index,1200,2,69
Kitholi,2 index,1150,2,250
Kudhla,2 index,1200,2,136
Kunkura,2 index,1800,2,300
Kurali,3 index,600,2,50
Kuri,3 index,1280,2,49
Ladpura,2 index,1007,2,62
Laharra,3 index,1370,2,61
Lahaurgarh,2 index,925,2,35
Mahroli,2 index,1500,2,75
Makarmatpur Bharapur,1 index,450,1,12.5
Mamipur,4 index,1200,4,140
Mansabgarh,2 index,1341,2,95
Masoori,3 index,1350,2,47.25
Mau Khas,2 index,992,2,60
Medpur,2 index,1163,2,68
Meerut (CB),2 index,1229,2,70
Meerut (M Corp.),2 index,600,2,39
Mehpa,2 index,1219,2,61.26
Mewla,3 index,1525,2,99.13
Mirpur,2 index,1147,2,60
Mirpur Jakhera,3 index,1412,2,88
Mirzapur,9 index,1200,9,215
Mohd.Pur Gumi,2 index,1044,2,34.77
Mohdpur Dhumi,2 index,1190,2,63
Mohiuddinpur (CT),3 index,1240,2,65
Mohiuddinpur Lalsana,3 index,1352,3,65
Morna,2 index,1100,2,55
Mundali,3 index,1330,2,39.9
Murlipur Phool,3 index,1700,3,111
Muzaffarnagar Saini,2 index,1355,2,67
Muzakkipur,2 index,1200,2,46
Nagla Kaboolpur,1 index,400,2,25
Nagla Kumbha,2 index,1342,2,70
Nagla Mal,3 index,1615,3,50.87
Nagla Patu,2 index,1340,2,65
Nagla Shekhu,2 index,1200,2,54
Nagli Azamabad,1 index,400,1,55
Nalpur,2 index,1080,2,52
Nanu Fatahpur,2 index,1600,2,31
Narahara,2 index,1200,2,34
Narangpur,3 index,2700,3,150
Nek,3 index,1780,3,110
Nityanandpur,3 index,1605,3,65
Pabla,4 index,7200,5,1584
Pachgaon Patti Amar Singh,3 index,646,2,65
Pachgaon Patti Gopal,2 index,1200,2,80
Pachgaon Patti Sanwal,2 index,900,2,49
Pachpera,3 index,1830,3,88
Paindapur,5 index,690,4,83
Panchi,1 index,650,1,500
Panchli Khurd,5 index,1800,4,68
Pastra,3 index,715,2,32
Patti Kherki,3 index,1230,2,31.37
Peepli Khera,2 index,1065,2,42.59
Pepla,8 index,1350,8,185
Puth Khas,3 index,1080,3,149
Puthri,3 index,900,2,65
Qasimpur,2 index,946,2,45
Raghunathpur,1 index,1500,1,60
Rajpura,3 index,1711,3,110
Rajpura,4 index,1200,3,160
Rali Chauhan,2 index,950,2,25.65
Rampur Moti,3 index,1656,3,80
Rasna Mohammadpur Akbarpur,2 index,1075,2,46.76
Rasulpur Aurangabad,3 index,1752.12,3,133
Rasulpur Dhantala,8 index,6000,8,220
Rasulpur Dhaulri,3 index,1540,3,85
Rasulpur Marhi,4 index,600,4,125
Rasulpur Rohta,1 index,665,1,32
Rasulpur Zahid,3 index,1665,3,110
Rawa,2 index,1145,2,54
Rukanpur,2 index,1185,2,41
Ruknuddinpur Misri Urf Phaphun,3 index,1200,3,190
Sadharanpur,3 index,1693,3,125
Sadullapur Urf Chandpura,3 index,2456,3,220
Salahpur,3 index,2559,3,403
Salarpur Jalalpur,2 index,1155,2,40.6
Saleh Nagar,3 index,1610,2,64.4
Salempur,3 index,1200,3,56.58
Sameypur,2 index,1530,2,185
Satwai,3 index,1709,3,80
Set Kuan,4 index,600,4,60
Sewalkhas (NP),8 index,2700,8,290
Shafiabad Loti,1 index,840,1,150
Shahpur Jainpur,3 index,1400,2,50
Shakarpur,2 index,1200,2,42
Shaulana,3 index,1439,3,57.23
Shekhpuri,2 index,1375,2,72
Shipura,5 index,2990,5,416
Sial,3 index,1200,2,75
Sikarpur,2 index,1315,2,75
Sikhera,2 index,1500,2,40
Sikri,6 index,3600,6,200
Sindhawali (CT),2 index,1178,2,82
Sisola Buzurg,3 index,1430,3,59
Sisola Khurd,3 index,1400,2,65.8
Sisoli,2 index,1093,2,72
Siwal Khas,2 index,1200,2,45
Soharka,5 index,5000,6,360
Tatina Sani,3 index,1200,2,130
Thirot,3 index,2210,3,156
Tikri,2 index,1150,2,70
Timakia,3 index,1435,2,60
Ukasia,4 index,600,3,100
Ukhleena,2 index,1173,2,78.2
Uldeypur,2 index,1140,2,39
Uldhan,3 index,1717,3,120
Uplehra,2 index,1325,2,65
Yusufabad,3 index,1370,3,67
Achikalan,2 index,1025,2,90
Afjalpur Urf Raninagla,3 index,1409,2,62
Agwanpur,2 index,1200,2,52
Ahmadnagar Badhla,2 index,1200,2,53.5
Ahmadpur Urf Dandoopur,3 index,1740,4,130
Ahmadpuri Urf Amanpuri,2 index,1232,2,88
Aidalpur,2 index,1200,2,36
Aidalpur,4 index,5924,4,625
Akbaarpur Khadar,2 index,1250,2,50
Akbarpur Garhi,2 index,1475,2,171
Akbarpur Ichchhabad,4 index,2100,4,85
Akbarpur Sadat,1 index,552,1,23.5
Akheypur,3 index,1065,2,42.59
Alamgirpur Badhla,3 index,1000,3,130
Alawalpur,2 index,1225,2,65
Alipur Alampur,1 index,650,1,16
Alipur Morna,2 index,1067,2,52
Amarpur Mazra Khandawli,3 index,1364,2,56
Amarsinghpur,3 index,1750,3,75
Ameharasani,2 index,1240,2,71
Aminabad Urf Baragoan,2 index,1200,2,75
Amroli Urf Baragoan,3 index,1540,3,75
Asfabad,3 index,1504,2,102
Asilpur,2 index,1116,2,49.8
Askaripur,3 index,2365,4,175
Assa,2 index,1308,2,37
Atalpur,2 index,864,2,45
Atmadpur,5 index,1200,5,139
Attaura,3 index,1069,2,38
Badhwa,2 index,1333,2,100
Badhwi,4 index,1800,4,145
Badshahpur,4 index,6136,4,550
Baghpur,3 index,1698,3,107
Bahadurpur,3 index,1275,2,43.6
Bahorpur,2 index,1060,2,48
Bahsuma (NP),2 index,1160,2,49
Bajampur,3 index,1484,2,65
Bali,3 index,675,3,70
Bamnaula,3 index,1200,5,325
Bamnauli,2 index,1310,2,66
Bana,6 index,1806,6,370
Barauda,4 index,3000,4,240
Basiviran,3 index,2145,3,165
Bastora Norang,3 index,1693,3,125
Batawli,3 index,1230,3,60
Batnor,3 index,1200,3,145
Behbalpur,3 index,1310,2,37.83
Behjadka,2 index,1150,2,60
Behlolpur,3 index,1385,2,66.5
Behrora,2 index,1066,2,52.5
Behsuma,3 index,2293,3,80.26
Bela,3 index,720,3,81
Bhagawanpur,3 index,1625,3,92
Bhagupur,2 index,1246,2,67.4
Bhagwanpur Bangar,4 index,2100,6,252
Bhagwanpur Khadar,4 index,2400,4,250
Bhainsa,6 index,3900,6,195
Bharolli,2 index,1000,2,70.65
Bhattipura,2 index,907,2,38
Bhirwara,4 index,3500,4,138
Bhndora,3 index,1395,2,79
Bhogpur,2 index,1180,2,50
Bhojpur,5 index,1903,6,140
Bhuwa,2 index,1175,2,47
Bisola,2 index,1272,2,51.5
Bondra,3 index,1490,2,92
Chak Paswara,2 index,1144,2,67
Chamraud,4 index,2400,5,140
Chandlawar Urf Mahalwala,2 index,1143,2,53
Chandpur,3 index,2500,3,190
Chhuchai,2 index,1216,2,75
Chitwana Sherpur,2 index,1044,2,60
Dabkheri,2 index,1352,3,93
Dabthla,3 index,1552,3,75
Dariapur,3 index,1785,3,120
Daulatpur Urf Mamipur,2 index,810,2,34.5
Dayalpur,3 index,1650,3,51.98
Dayalpur,3 index,1595,3,70.39
Dedupur,2 index,1060,2,35
Dhanpura,3 index,1410,2,65
Dhanpura,3 index,1523,2,56
Dhikauli,3 index,1591,3,122
Dhuma Nagli,3 index,1640,3,84
Dudheli Bangar,1 index,450,1,16
Dudhli Khadar,3 index,1305,2,60
Duperi Chaw,3 index,1590,3,54
Durveshpur,2 index,1240,2,45
Fajilpur,2 index,1200,2,54
Fatehpur Narain,2 index,1100,2,41.16
Fatehpur Prem,2 index,1180,2,128
Firozpur,2 index,1115,2,50
Ftahpur Hansapur,2 index,845,2,33
Gagsona,3 index,1567.2,2,190
Gajraula,3 index,1310,2,45
Gajrauli,1 index,26136,1,150
Gajupura,2 index,959,2,42.5
Ganeshpur,4 index,1200,4,140
Garina,2 index,883,2,37
Gayanagla Urf Nagla Katar,2 index,1050,2,55.5
Gazipur,2 index,1390,2,70.21
Gesupur Januvi,2 index,132Sq. Yards,2,46
Gesupur Shumali,3 index,1280,2,69
Gokulpur,7 index,1280,5,150
Govindpur Sakarpur,3 index,1614,3,95
Govindpuri,2 index,1000,2,58
Guramb,2 index,1196,2,57.9
Gurha,3 index,1220,3,57
Hadipur Gaori,2 index,950,2,31.95
Haripur,9 index,2400,8,325
Harisinghpur,2 index,1141,2,55
Hasanpur Kalan,2 index,1200,2,51
Hastinapur (NP),3 index,1380,2,55
Hastinapur Kaurwan,2 index,855,2,32
Hastinapur Pandwan,1 index,645,1,16.45
Hatoopura,2 index,922,2,36
Hazratpur,2 index,1200,2,43.2
Himaupur,3 index,1240,2,65
Ibrahimpur,2 index,1070,2,42
Ikwara,2 index,1293,2,75
Issapur,3 index,1380,2,50
Jafarpur Nagla,3 index,1599,3,80
Jai,2 index,967,2,41.1
Jaisinghpur,3 index,1885,3,90
Jalalpur Jora,2 index,860,2,65.5
Jalalpur Maqbulpur,1 index,1075,1,19.5
Jalalpur Raunakali,2 index,1050,2,63.5
Jamalpur Khadar,3 index,1595,3,88
Jamalpur-Meghrajpur,2 index,1350,2,102
Jandheri,2 index,1204,2,45
Jarauda,4 index,2990,4,240
Jataula,2 index,1035,2,49
Jeetpur,2 index,1000,2,29.95
Jharaka,3 index,1457,3,85
Jhijharpur,2 index,1194,2,47
Jhunjhunee,2 index,1100,2,66
Kabirpur,3 index,1655,3,120
Kailirampur,3 index,1691.2,3,115
Kandala,2 index,1215,2,46.1
Kanker Khera,2 index,1010 - 1300,2,50.125
Kareempur,3 index,1639,3,129
Kasimpur,3 index,1685,3,135
Katra,5 index,1008,4,180
Kayasth Barha,2 index,1100,2,38
Khaikhera,3 index,2122,3,125
Khalidpur,2 index,1050,2,47
Khand Awli,2 index,1230,2,45
Khanpur Banger,3 index,1240,3,60
Khanpur Garhi,3 index,1252,2,65
Khanwala,3 index,1374,2,88
Kharkhali,1 index,500,1,30
Khata,8 index,1200,8,225
Khatki,3 index,1355,3,83.87
Khejuri Alyarpur,2 index,1040,2,45
Kheri Kalan,2 index,1350,2,68
Kheri Khurd,4 index,4003,6,300
Kheri Manihar,3 index,2400,3,135
Kherki Jadid,3 index,1560,3,90
Khijarpur,2 index,1151,2,43.16
Khor Ahir,3 index,1360,2,47.59
Khorrai,2 index,1250,2,60
Kiratpur,3 index,1110,2,29.97
Kishanpur,2 index,1015,2,50
Kishanpur Birana,3 index,1351,2,78
Kishorpur,2 index,960,2,50
Kithaur (NP),2 index,1110,2,52
Kithor Rural,3 index,1680,3,72
Kohla,3 index,2400,3,180
Kol,4 index,11000,5,2000
Kunda,3 index,1350,3,48.6
Kunehra,2 index,1254,2,47
Kuri Kamalpur,3 index,1255,3,115
Kutubpur,2 index,1051,2,61
Laliyana,3 index,1200,3,205
Lalpur,2 index,1099,2,65
Lalpur,3 index,2650,4,199
Latifpur,4 index,2000,2,160
Lutfullapur Baksar,2 index,1541,2,130
Machhra,3 index,1200,3,70
Mahamudpur Shikhera,2 index,1125,2,45
Mahmudabad,3 index,1650,3,85
Mahmudpur Garvi,1 index,834,1,62
Mahmudpur Sherki,3 index,1320,3,60
Makhannagar,3 index,1200,3,149
Makhdumpur,8 index,1000,7,160
Mamipur,3 index,1500,3,74
Mandwari,4 index,4400,5,500
Manoharpur,1 index,2Acres,1,125
Manpur,1 index,600,1,52
Manpur,2 index,1180,2,70
Matora,2 index,1010,2,50
Mavi,2 index,1070,2,38
Mawana (NPP),3 index,1580,3,105
Mawana Kalan,4 index,1200,5,325
Mawana Khurd,3 index,2000,3,165
Meerpur,3 index,1920,3,130
Meerpur Sadhunagal,3 index,1200,2,76
Meghrajpur,2 index,1040,2,45
Mewa,3 index,1430,2,90
Mirzapur,3 index,1215,2,52.85
Mishipur,1 index,650,1,70
Mohammadpur Kheri,3 index,1564,3,105
Mohammadpur Shakist,3 index,800,2,52
Mor Kalan,2 index,750,2,58
